tractid,blockgroups
15000US49035111802,1
15000US35061970405,1
15000US49035111801,2
15000US29113810100,2
15000US45007000600,3
15000US35061970404,1
15000US41029000300,1
15000US48167725600,3
15000US42011002500,2
15000US72145560300,2
15000US22071012500,1
15000US48439113408,4
15000US48201551703,2
15000US22069000500,3
15000US19021960300,1
15000US42021012700,2
15000US39113070700,2
15000US36121970500,4
15000US26143970600,1
15000US36119000900,2
15000US48201341000,3
15000US06081611900,5
15000US17031610400,0
15000US19163010201,2
15000US42045400301,3
15000US42045400302,2
15000US19163010202,3
15000US42035030500,3
15000US29195090100,3
15000US29183310202,1
15000US06037402200,2
15000US40027202008,1
15000US48201551702,1
15000US05077470300,4
15000US48193950100,1
15000US55039041000,2
15000US53005011200,5
15000US36029016300,2
15000US55117001100,1
15000US06081604900,1
15000US17095000400,3
15000US17031835100,3
15000US25009204500,2
15000US48141010336,2
15000US42129807100,2
15000US06001451202,2
15000US06001451201,2
15000US48201313500,2
15000US06037576503,1
15000US06037576502,2
15000US06037576501,1
15000US40145030505,0
15000US40145030502,1
15000US34003019306,0
15000US24510250204,1
15000US48439104201,3
15000US51065020101,2
15000US12105013400,2
15000US06037570901,4
15000US48141010331,2
15000US06037570902,2
15000US39041011730,2
15000US05095950200,1
15000US25017382200,3
15000US13237960101,2
15000US13237960102,1
15000US36101962500,1
15000US29121960100,2
15000US36047070203,1
15000US25025092101,4
15000US31141965100,2
15000US48485011700,1
15000US48029121702,2
15000US40109100300,2
15000US34003022200,6
15000US41001950100,2
15000US29117480500,0
15000US29095012300,1
15000US08005086100,2
15000US06081609500,1
15000US13067030231,3
15000US13067030230,1
15000US13067030233,1
15000US13067030232,1
15000US12107950300,4
15000US13067030234,1
15000US48121021728,1
15000US13067030236,1
15000US13067030239,2
15000US13067030238,1
15000US26081011801,3
15000US40145030509,0
15000US48121021722,1
15000US23011010500,2
15000US48121021720,1
15000US26081011804,2
15000US08049000202,3
15000US08049000201,2
15000US17031020100,1
15000US26147621000,2
15000US26049000100,2
15000US17031829800,4
15000US26081013400,2
15000US12097042400,0
15000US35001003707,2
15000US51740211800,3
15000US17043846102,2
15000US17043846103,3
15000US17043846104,1
15000US12011050100,2
15000US17043846106,1
15000US24037876200,3
15000US42125741300,1
15000US06045010700,6
15000US36081150702,3
15000US28047003208,2
15000US48157675500,1
15000US39061008300,2
15000US21067004001,2
15000US40061279100,1
15000US39153505600,1
15000US38101010301,2
15000US38101010302,3
15000US24017850201,0
15000US13025960100,2
15000US26141990000,0
15000US06037231600,4
15000US48037011000,4
15000US36081036700,1
15000US08041006200,2
15000US18003010706,2
15000US18003010707,1
15000US18097357100,3
15000US12111380400,4
15000US36085014700,2
15000US36111951600,1
15000US06081600100,2
15000US37077970200,2
15000US34029736102,3
15000US34029736105,3
15000US45025950400,4
15000US48201350801,2
15000US12086000405,3
15000US12086000404,2
15000US21227011700,4
15000US12086000403,3
15000US12086000402,2
15000US39035173104,1
15000US39035173105,0
15000US39035173106,1
15000US39035173107,2
15000US12086000409,2
15000US12086000408,3
15000US36067010600,1
15000US29071800602,3
15000US29071800601,3
15000US28013950300,2
15000US36029006702,2
15000US36029006701,2
15000US06037302003,0
15000US20119966600,2
15000US48489950500,1
15000US36029009702,3
15000US41037960200,6
15000US36029009701,1
15000US12023110602,1
15000US26027001700,4
15000US12023110601,2
15000US36047015000,1
15000US04013615500,2
15000US27013170900,2
15000US28049002200,1
15000US33011002600,3
15000US05143011200,0
15000US27123033700,0
15000US48201220600,1
15000US28083950200,2
15000US39045033100,3
15000US34007601200,3
15000US17083010402,1
15000US17083010401,5
15000US39089756800,2
15000US36061022000,4
15000US18057111101,1
15000US36035971200,3
15000US41051007700,1
15000US23011014500,1
15000US41041950800,1
15000US24031700715,3
15000US01101002700,3
15000US06061022002,2
15000US50021963700,1
15000US18047969700,2
15000US29103960200,1
15000US48029131300,3
15000US06001428000,1
15000US17121952400,2
15000US55079120300,0
15000US06005000301,1
15000US06005000303,1
15000US06005000304,1
15000US06019006201,1
15000US06019006202,3
15000US45051040400,1
15000US39005970200,3
15000US19169000700,3
15000US19019950300,2
15000US48001950800,4
15000US37021003202,2
15000US17199021400,2
15000US51155210400,4
15000US42101027800,3
15000US36061003100,0
15000US04013216831,1
15000US40131050202,1
15000US39129021402,1
15000US39129021401,1
15000US27053021505,3
15000US25003913100,6
15000US41051007600,1
15000US41051004602,1
15000US39035178101,2
15000US20057962000,4
15000US35006946100,2
15000US37021003201,0
15000US41051004601,1
15000US26099261800,1
15000US24510060300,1
15000US48201520300,2
15000US55079018900,0
15000US36047007800,3
15000US36007001400,6
15000US25027754200,1
15000US08095967700,1
15000US49049003001,2
15000US24031700718,1
15000US48041000201,3
15000US31041971700,3
15000US42045404500,3
15000US48201411100,2
15000US41051004001,3
15000US41051004002,3
15000US39035122300,1
15000US33019975100,2
15000US13133950200,2
15000US08031002601,1
15000US08031002602,0
15000US42055010600,2
15000US18083955700,4
15000US53011040806,2
15000US28149950400,3
15000US39035177101,2
15000US39151711412,3
15000US04013812600,2
15000US48141010338,2
15000US39141955603,2
15000US39141955602,0
15000US39141955601,1
15000US42003523800,3
15000US21029020602,0
15000US06029000300,3
15000US21029020601,3
15000US05001480600,1
15000US48113008000,5
15000US26079950200,3
15000US12057006600,3
15000US06037990200,0
15000US12103022000,3
15000US51085321300,2
15000US34017018302,0
15000US29019000500,1
15000US36047070201,4
15000US29051020700,2
15000US17031818700,3
15000US34033020200,1
15000US51760021200,0
15000US39153508399,3
15000US12057000601,2
15000US12057000602,1
15000US18157011000,2
15000US36015000100,2
15000US48201510800,5
15000US16005000600,1
15000US40027202006,1
15000US28089030600,1
15000US37081017000,1
15000US37135011800,1
15000US39171950100,3
15000US42101980200,0
15000US39035177302,1
15000US36065021402,1
15000US36065021401,2
15000US26075005800,0
15000US37183052301,2
15000US29189217500,4
15000US37157040700,3
15000US36111951500,3
15000US17031063400,1
15000US33003955400,4
15000US28043950200,2
15000US53077000300,1
15000US47165021104,1
15000US47157021751,1
15000US12011041700,2
15000US24003731308,1
15000US06087122201,6
15000US06087122202,0
15000US06087122203,1
15000US34013004300,1
15000US36059407204,2
15000US42031160101,1
15000US06013337300,5
15000US34023001902,2
15000US29077005200,3
15000US39035194100,0
15000US48113016620,2
15000US12055960602,4
15000US35049010315,1
15000US22095070700,3
15000US12055960601,0
15000US35049010310,0
15000US35049010311,1
15000US35049010312,1
15000US12009062900,1
15000US28057950100,3
15000US47009011503,3
15000US47009011502,1
15000US47009011501,0
15000US51510200201,2
15000US55079001300,3
15000US19077950300,4
15000US06041119100,4
15000US51700032124,1
15000US31055002300,1
15000US55101002001,1
15000US34027045401,2
15000US21115960100,2
15000US21095970500,0
15000US06037464000,4
15000US28139950300,2
15000US36047064800,1
15000US29151490100,2
15000US36111953900,2
15000US42029303901,1
15000US34005702204,0
15000US48029980100,0
15000US50023955400,2
15000US42011001700,1
15000US42101024400,2
15000US47065003400,2
15000US19011960500,2
15000US37183053609,0
15000US18179040700,4
15000US06065030103,1
15000US13183980000,0
15000US06065030101,0
15000US06065030104,2
15000US12103026809,1
15000US36055001500,0
15000US47183968400,4
15000US09009170100,1
15000US25025170800,3
15000US12103026804,2
15000US36027220700,2
15000US17031100700,4
15000US45079002400,2
15000US26163568800,1
15000US42091204900,3
15000US17047956900,2
15000US51059491000,0
15000US39049009220,1
15000US36059411901,2
15000US25017341400,4
15000US05119003706,0
15000US26163571000,3
15000US34013004500,3
15000US05119003707,1
15000US32031980300,0
15000US42071011503,3
15000US42023960100,2
15000US17031031000,2
15000US32003005108,1
15000US53045960700,1
15000US18003002600,3
15000US27037060301,3
15000US22023970201,2
15000US47119011200,2
15000US48479001900,2
15000US24510040100,1
15000US19105070400,3
15000US27107960300,2
15000US08005006713,0
15000US08005006712,1
15000US08005006711,3
15000US32003002706,2
15000US29510106200,2
15000US39035181100,4
15000US09001045300,1
15000US45035010100,1
15000US29019002100,2
15000US51800075202,1
15000US25009250400,2
15000US02090000800,3
15000US06037242600,2
15000US39061021504,4
15000US53053073006,1
15000US06037550000,0
15000US06067007014,3
15000US42051261300,3
15000US22033000400,2
15000US30009000500,0
15000US17031231200,4
15000US48453001200,2
15000US54033031600,2
15000US42133020521,3
15000US12009066103,1
15000US12009066101,3
15000US42017100211,3
15000US06037240600,3
15000US06111003801,1
15000US06111003802,0
15000US12009066104,2
15000US47151975200,3
15000US42091206905,1
15000US26099245000,3
15000US37067003500,4
15000US47161980100,0
15000US13153020800,1
15000US51069050802,3
15000US06001406602,1
15000US06001406601,3
15000US51650010104,4
15000US51650010103,5
15000US06067007013,1
15000US36081020500,1
15000US06067007012,1
15000US42043022401,1
15000US42043022403,3
15000US42017100212,1
15000US48251130304,3
15000US42101023500,0
15000US28089030400,2
15000US25005652000,2
15000US09009352702,2
15000US09009352701,1
15000US36087011700,2
15000US12119910100,1
15000US36047112400,2
15000US48113016520,2
15000US55105000200,2
15000US18093950700,4
15000US17031611100,2
15000US29077003200,1
15000US42091202603,2
15000US36081078800,1
15000US37049960300,4
15000US42051260900,2
15000US42101001101,3
15000US51510200107,2
15000US31109003708,1
15000US31109003709,3
15000US37119001300,2
15000US36001013902,2
15000US25009210600,3
15000US06111001402,2
15000US26011970300,2
15000US31109003704,3
15000US06111001401,1
15000US42071013902,2
15000US27137013200,3
15000US39101010400,2
15000US37135011602,2
15000US41019030000,2
15000US54039010200,2
15000US44003021903,2
15000US36055008701,3
15000US36055008702,1
15000US36059407102,3
15000US04013117300,1
15000US55063000900,3
15000US34017007800,0
15000US37067003908,1
15000US36115089000,2
15000US37067003905,1
15000US37067003904,3
15000US37067003903,2
15000US34007605400,2
15000US06037213100,1
15000US06031001401,0
15000US53011040808,0
15000US72021031651,1
15000US26163518500,1
15000US42045401200,3
15000US22095070500,2
15000US72149720400,1
15000US06031001402,1
15000US48029980001,0
15000US36021001900,1
15000US42033331800,2
15000US18103952500,2
15000US42091200607,1
15000US22071013200,3
15000US42091200603,1
15000US04019000600,4
15000US20103070200,2
15000US24027605505,1
15000US24027605504,0
15000US24027605503,2
15000US06001400600,1
15000US29227960100,2
15000US12053040201,1
15000US48029980004,0
15000US12053040202,2
15000US50027965700,2
15000US42037051300,1
15000US23029955300,1
15000US29510115300,4
15000US12019030103,2
15000US12019030102,3
15000US06037203500,2
15000US39119912400,3
15000US47065010502,2
15000US55045960700,3
15000US12019030104,1
15000US31013951100,1
15000US72085190102,3
15000US18089022000,3
15000US17029000200,4
15000US26163552200,2
15000US26159010100,5
15000US48067950100,4
15000US48397040504,2
15000US18113972300,2
15000US26099256300,1
15000US39169000300,1
15000US17031836500,1
15000US26125152600,1
15000US10003014100,2
15000US36067003000,1
15000US45045002905,1
15000US45045002904,1
15000US12117020803,3
15000US45045002901,1
15000US12117020805,3
15000US12117020806,3
15000US12117020807,2
15000US12095013900,1
15000US36047005100,2
15000US47189030800,2
15000US26037010600,1
15000US36005002800,4
15000US35045000608,2
15000US26099247400,2
15000US36027050102,1
15000US36027050103,4
15000US36027050104,3
15000US22051021500,1
15000US17125956300,2
15000US04013612500,2
15000US06037432201,1
15000US19163013400,1
15000US15001991500,0
15000US04013319910,1
15000US01081040800,1
15000US16083001000,4
15000US12071010103,5
15000US12071010102,5
15000US12086019400,1
15000US12071010105,4
15000US12071010104,0
15000US32031002616,2
15000US17201002302,1
15000US32031002614,0
15000US32031002615,1
15000US18107957400,2
15000US32031002613,3
15000US32031002610,2
15000US17031051100,0
15000US21101020602,1
15000US29169470600,1
15000US06071009913,1
15000US06071009912,2
15000US06071009911,1
15000US09001245400,1
15000US24037875801,1
15000US24037875802,2
15000US40109106608,2
15000US39061009200,2
15000US36029002900,3
15000US40109106607,3
15000US55025012502,2
15000US26033970400,2
15000US37059080300,3
15000US42105950500,2
15000US53063001300,2
15000US17143003800,1
15000US42039110202,2
15000US48099010802,2
15000US09013530600,1
15000US25027742300,4
15000US47157020900,0
15000US42133023902,1
15000US42133023901,3
15000US45091061706,1
15000US36051031300,2
15000US01101005410,3
15000US06083002209,1
15000US39071955100,3
15000US06083002205,2
15000US53033001702,3
15000US04013614900,2
15000US06083002206,2
15000US42071011300,2
15000US26021020600,3
15000US11001004201,1
15000US26081003900,1
15000US39099800400,0
15000US11001004202,1
15000US41051001000,4
15000US42017105900,1
15000US31153010107,2
15000US53033029802,5
15000US37069060700,2
15000US26163514500,1
15000US26125157000,1
15000US36005005001,3
15000US21145030700,3
15000US26103000400,2
15000US42095017300,1
15000US48405950200,2
15000US06037265410,1
15000US26085960100,2
15000US36047016300,2
15000US06055201900,1
15000US25017341902,5
15000US22103040104,1
15000US22103040103,2
15000US22103040102,5
15000US34025807003,4
15000US37071032402,1
15000US19015020600,0
15000US36103123101,2
15000US06079011901,1
15000US06079011902,4
15000US36029013800,4
15000US47093001700,1
15000US26099262500,6
15000US05093011000,3
15000US41019180000,4
15000US22071000903,3
15000US48167721500,3
15000US36081115900,2
15000US12011070502,2
15000US12011070501,2
15000US36005033500,2
15000US36119003300,3
15000US29131962600,3
15000US18057110809,3
15000US05021950100,2
15000US18057110807,2
15000US18057110806,0
15000US18057110805,2
15000US18057110804,1
15000US06013341000,2
15000US49049002500,3
15000US18097352500,3
15000US51810045808,1
15000US26163554200,3
15000US40077087200,3
15000US42133021410,2
15000US12099002700,3
15000US45085001703,1
15000US48201540800,2
15000US27147960100,2
15000US36059404800,3
15000US26163533400,4
15000US49027974100,3
15000US33015069100,3
15000US36081091602,1
15000US48187210713,1
15000US48187210712,2
15000US51153900300,3
15000US18069961400,3
15000US09003520400,3
15000US54019021000,1
15000US48199031000,2
15000US36005008400,1
15000US12086020000,5
15000US48471790103,2
15000US48453001916,1
15000US13001950400,1
15000US51089010601,1
15000US06087121000,2
15000US51059421800,2
15000US24005408100,3
15000US55079120101,1
15000US04013618100,2
15000US48143950400,4
15000US40071001301,3
15000US40071001302,2
15000US36103123600,2
15000US36103112104,0
15000US27049080500,2
15000US36103112102,1
15000US34003051300,5
15000US36047113200,1
15000US06075026402,2
15000US06075026403,1
15000US06073017200,3
15000US06075026401,1
15000US42095015700,2
15000US04013217102,1
15000US04013217101,2
15000US37035011000,1
15000US17201001100,1
15000US32003002947,1
15000US32003002946,1
15000US32003002941,3
15000US32003002940,1
15000US51059470900,4
15000US32003002942,2
15000US13301970400,2
15000US29009960200,4
15000US32003002949,1
15000US32003002948,1
15000US08001008526,4
15000US06013339002,3
15000US06013339001,1
15000US08001008523,3
15000US37157041002,2
15000US35029000400,3
15000US39127966200,4
15000US04013107900,2
15000US17119400600,3
15000US08001008529,2
15000US06037228220,2
15000US24017851500,2
15000US27057070400,2
15000US21149970500,2
15000US53061052904,3
15000US40137001000,2
15000US42107003500,3
15000US25013802500,5
15000US17163501501,1
15000US17163501502,1
15000US16001002302,3
15000US42091208302,2
15000US20209042300,2
15000US05131000502,2
15000US05131000501,3
15000US46123971600,1
15000US17111870808,1
15000US17111870809,1
15000US25017333502,1
15000US25017333501,2
15000US36047056600,1
15000US09003420700,2
15000US17111870803,3
15000US17071973400,2
15000US21027960502,3
15000US17111870807,1
15000US51810045415,1
15000US01123962100,2
15000US21161960400,3
15000US42081010200,1
15000US28049010201,1
15000US42095011300,1
15000US42101018800,6
15000US40125501003,1
15000US27053102800,2
15000US28049010203,1
15000US06071001307,1
15000US06071001305,2
15000US06071001308,1
15000US06071001309,2
15000US53033025701,4
15000US34013005200,1
15000US36013035400,2
15000US26163564300,1
15000US54067950300,0
15000US09001021300,2
15000US22051023400,2
15000US06019002701,3
15000US37189920100,2
15000US34033021101,1
15000US53033011200,2
15000US22053000600,3
15000US26001990000,0
15000US08045952100,3
15000US01127020800,4
15000US17197883700,2
15000US39091003900,3
15000US22001961200,2
15000US17043841403,2
15000US06075020800,3
15000US39005971000,3
15000US37031970402,1
15000US37031970403,2
15000US37031970401,0
15000US15003010508,1
15000US28077960200,3
15000US15003010505,2
15000US15003010504,2
15000US15003010507,1
15000US51800075203,1
15000US12057013322,3
15000US25013801101,0
15000US15003010503,1
15000US12057013321,3
15000US55123960200,3
15000US01069041500,4
15000US25017340100,5
15000US40019893000,5
15000US39049009250,2
15000US37047931100,2
15000US34013020700,4
15000US36035971400,2
15000US53061053504,4
15000US25017373700,3
15000US34013019600,4
15000US37021000800,2
15000US40109106401,2
15000US36047037900,2
15000US36069051500,2
15000US34003055100,5
15000US55079035100,2
15000US37063001801,4
15000US06037404504,1
15000US36061006600,8
15000US06037404501,0
15000US36039081102,2
15000US06037404503,0
15000US48183000401,1
15000US26045020403,2
15000US26045020402,2
15000US32013010600,1
15000US51013101500,5
15000US48061014400,2
15000US55079013000,1
15000US06111002400,1
15000US53033032102,3
15000US36081025400,5
15000US06059110603,4
15000US06059110604,3
15000US06059110605,4
15000US06059021919,1
15000US06059021918,2
15000US06059021917,2
15000US06059021916,1
15000US06059021915,1
15000US06059021914,1
15000US06059021913,3
15000US06059021912,2
15000US18141000400,2
15000US05035030202,2
15000US05035030201,4
15000US06023011500,2
15000US17161022800,3
15000US13121008301,1
15000US05025970100,3
15000US05101180200,3
15000US13121008302,1
15000US34039030400,2
15000US20047969600,1
15000US40109106403,4
15000US51520020100,2
15000US23017966700,2
15000US18141001400,3
15000US12037970200,1
15000US04013421202,2
15000US04013421201,2
15000US22035000300,2
15000US72021031900,3
15000US37163970400,3
15000US39161020200,3
15000US06037501804,1
15000US37167931000,4
15000US47163043301,2
15000US06037501802,2
15000US06037501803,1
15000US06037433503,1
15000US55059002906,1
15000US06037433501,0
15000US47037016800,3
15000US55059002903,1
15000US06037433504,2
15000US19153010600,4
15000US22071001402,3
15000US22071001401,5
15000US51173030301,1
15000US55067960400,2
15000US17161022300,1
15000US48339692002,1
15000US08007974400,1
15000US17031150502,2
15000US17031150501,2
15000US32003003228,2
15000US32003003227,1
15000US32003003226,1
15000US51059481702,2
15000US42045406402,1
15000US32003003223,1
15000US32003003222,2
15000US32003003220,5
15000US06037574202,1
15000US39147962800,3
15000US06037574201,3
15000US25027731001,0
15000US25027731002,3
15000US34031124402,3
15000US08059010902,1
15000US42091203402,2
15000US36029014801,1
15000US08059010901,4
15000US06037262501,2
15000US26125139200,4
15000US36119007700,3
15000US20151968700,2
15000US55109120903,2
15000US34007609205,3
15000US34007609204,2
15000US34007609203,2
15000US28163950100,3
15000US34007609201,2
15000US05073470200,2
15000US09011713100,1
15000US17089850301,3
15000US38077971100,1
15000US06001437500,1
15000US49035113533,2
15000US48201340700,3
15000US13121001100,2
15000US48029121508,2
15000US28059041100,4
15000US19127950800,5
15000US27123042602,2
15000US27123042601,2
15000US42133010120,3
15000US42129803302,1
15000US32003007100,2
15000US40143007642,0
15000US49015976300,1
15000US42017104604,3
15000US53011040505,2
15000US47037015501,2
15000US39035120801,1
15000US36081046400,0
15000US53011040508,2
15000US36029003100,3
15000US06067008908,2
15000US48439102301,2
15000US06037209401,1
15000US48029121504,3
15000US06037209403,1
15000US06037209402,1
15000US50027965501,2
15000US48381022001,1
15000US39099812400,2
15000US36047052000,2
15000US48113013726,1
15000US06017031900,0
15000US48113013720,2
15000US48029121506,3
15000US29185480300,1
15000US13059030100,1
15000US22097960400,1
15000US48029121507,3
15000US24009990100,0
15000US06081606200,3
15000US42133001000,1
15000US25009251300,2
15000US39173021100,2
15000US48201451300,3
15000US06059087901,1
15000US06059087902,2
15000US26049013600,0
15000US01133965700,3
15000US21101020500,1
15000US22071008400,1
15000US39085200500,1
15000US12105012004,0
15000US53033031301,1
15000US48279950300,1
15000US12105012001,1
15000US12105012002,2
15000US12105012003,2
15000US06053001801,1
15000US55027961700,2
15000US06053001802,2
15000US21053970202,2
15000US21053970201,1
15000US42049011900,5
15000US45031010400,2
15000US36087011506,1
15000US26163545100,2
15000US12107950800,3
15000US26081011102,2
15000US26081011101,1
15000US36005020200,1
15000US21037052302,3
15000US21037052301,2
15000US72113072400,4
15000US42045400802,2
15000US42045400801,0
15000US39099812900,2
15000US36081070300,1
15000US49035113537,1
15000US25025110301,1
15000US36075020800,1
15000US12053041305,1
15000US06081613600,3
15000US12053041303,2
15000US12053041302,1
15000US36059303600,5
15000US17119401721,2
15000US17119401722,1
15000US17031730600,2
15000US72127001000,5
15000US26111291601,1
15000US30041040100,1
15000US44007003100,4
15000US26163501600,1
15000US39061008800,1
15000US31047968600,1
15000US53007960300,6
15000US17031810800,3
15000US49035113538,1
15000US12033003309,3
15000US45019001901,2
15000US41067030102,1
15000US13071970900,3
15000US29095016900,2
15000US06037211803,1
15000US51009010402,1
15000US45041001400,4
15000US25027735200,3
15000US22077952300,0
15000US11001001001,5
15000US11001001002,2
15000US40143000500,1
15000US28119950200,1
15000US09001200200,3
15000US26049002000,1
15000US22115950500,5
15000US20173002200,2
15000US20173010300,4
15000US42003413202,1
15000US42003413201,2
15000US45067950300,3
15000US36081069702,3
15000US22071007000,1
15000US39049005620,3
15000US36081069701,2
15000US17031807400,4
15000US32003002939,1
15000US26067030200,2
15000US24033801701,1
15000US24033801702,1
15000US24033801704,2
15000US36005042000,2
15000US24033801706,0
15000US24033801707,2
15000US24033801708,1
15000US34003032202,3
15000US34003032201,2
15000US35031943600,5
15000US26125134800,1
15000US06073016612,2
15000US06073016613,1
15000US06073016610,1
15000US06037211704,1
15000US06073016616,1
15000US06073016617,1
15000US06073016614,1
15000US06073016615,0
15000US26111291602,3
15000US53033032315,2
15000US42003563200,2
15000US19017004100,1
15000US40143009104,1
15000US37025041601,3
15000US17195001600,2
15000US32003002937,2
15000US18095011501,2
15000US18095011502,2
15000US17031829100,1
15000US41029002300,1
15000US36025971300,2
15000US06081602000,4
15000US32003005501,3
15000US32003005502,3
15000US21061920400,3
15000US40143006905,2
15000US12086002705,2
15000US12086002706,2
15000US40143006906,0
15000US40143006901,3
15000US17081050600,3
15000US12086002702,1
15000US12086002703,8
15000US06061020502,2
15000US06013346204,2
15000US06013346203,1
15000US36047000700,2
15000US06013346201,3
15000US48029121701,3
15000US48157674501,0
15000US42095014400,2
15000US12086017300,2
15000US48113001900,1
15000US36119014400,2
15000US48085030523,4
15000US45079002100,2
15000US72149720504,1
15000US06085506301,3
15000US17065973200,2
15000US06085506302,2
15000US06085506305,3
15000US06085506304,2
15000US47163040900,1
15000US36053030103,2
15000US41041951800,2
15000US29015460400,1
15000US21167960400,3
15000US28049000100,3
15000US24025304201,4
15000US48029152201,2
15000US37077970500,2
15000US48085030522,1
15000US48029152202,1
15000US27083360100,3
15000US34013010900,3
15000US51810044401,2
15000US45045002507,1
15000US26125194200,1
15000US51810044402,3
15000US13135050435,1
15000US13135050434,2
15000US08013013006,2
15000US13135050436,4
15000US13135050431,2
15000US10001041100,1
15000US13135050433,0
15000US08013013003,3
15000US37051003404,1
15000US37191001102,2
15000US26141950100,1
15000US48245006900,2
15000US26019000100,3
15000US06107003300,5
15000US42091202500,3
15000US02110000400,3
15000US12103020500,3
15000US48149970500,2
15000US45043920600,6
15000US34031143300,3
15000US17031690300,1
15000US06077005209,2
15000US34031236602,3
15000US53033031202,4
15000US34031236601,3
15000US39035101101,1
15000US35001001400,3
15000US39035101102,2
15000US51059421002,2
15000US31155968300,3
15000US37071030700,2
15000US18035000800,3
15000US18097342000,1
15000US39097040400,1
15000US36047087600,1
15000US06079010504,2
15000US06029002808,4
15000US06079010503,3
15000US48479000904,2
15000US48113007202,4
15000US48113007201,4
15000US06029002807,3
15000US06029002806,0
15000US39055311300,3
15000US06029002804,1
15000US17043846311,3
15000US17043846310,1
15000US17043846313,2
15000US17043846312,2
15000US17043846315,2
15000US17043846314,1
15000US09001043000,2
15000US21029020101,1
15000US06029000400,2
15000US21029020103,1
15000US21029020102,2
15000US31001965700,1
15000US36103146003,3
15000US25017311900,1
15000US42069111700,3
15000US30095966600,1
15000US13129970400,2
15000US48355005900,1
15000US12103022901,1
15000US12103022902,2
15000US42045407902,1
15000US17037000700,1
15000US41039001903,1
15000US41039001902,3
15000US17031010501,2
15000US17031010502,1
15000US06019006900,2
15000US39169000800,3
15000US17199021300,2
15000US29189211201,2
15000US39165030900,4
15000US55131400103,2
15000US51700031701,1
15000US40131050501,0
15000US55131400104,2
15000US40131050502,1
15000US08031000303,5
15000US08031000302,4
15000US08031000301,5
15000US06027000100,1
15000US26099252000,3
15000US04013071512,3
15000US04013071513,1
15000US04013071510,2
15000US04013071511,1
15000US04013071516,1
15000US04013071517,2
15000US04013071514,2
15000US04013071515,2
15000US04012940200,1
15000US34013002400,2
15000US17191955000,4
15000US48029120300,7
15000US25009208300,3
15000US18177000200,2
15000US05007020902,4
15000US05007020901,3
15000US36057070500,1
15000US24017850902,2
15000US48085030528,1
15000US24017850901,2
15000US12009060400,3
15000US29019000200,1
15000US24017850904,1
15000US24017850905,1
15000US48493000404,2
15000US36029009116,3
15000US36029009115,1
15000US36029009114,2
15000US01035960200,1
15000US25023506101,3
15000US04027000700,2
15000US25017370101,3
15000US55079003800,2
15000US51169030300,2
15000US55005000200,2
15000US47071920600,2
15000US36013036800,3
15000US36029015501,0
15000US05083950400,1
15000US48201312200,2
15000US32003001609,3
15000US08013060800,4
15000US21115960600,3
15000US47157022600,1
15000US33011200300,1
15000US16019970900,2
15000US48029140800,4
15000US26139022002,2
15000US17097865700,2
15000US42007604500,2
15000US42101021300,4
15000US21111011509,2
15000US34031175704,1
15000US21031930500,1
15000US06037651401,1
15000US06037651402,3
15000US36061022500,5
15000US39085202900,4
15000US47061955000,1
15000US20169000600,0
15000US18141002400,2
15000US06037276601,3
15000US28089030104,1
15000US06037276603,1
15000US28089030106,3
15000US28089030101,3
15000US06037276604,1
15000US55079101500,3
15000US29059480300,5
15000US12093910101,2
15000US12093910102,1
15000US37093970402,1
15000US17031804609,2
15000US48303980000,0
15000US26163577500,3
15000US12103026101,2
15000US12103026102,1
15000US28121020803,0
15000US49011127100,4
15000US34017002800,4
15000US39101001000,1
15000US41005023300,2
15000US51059452302,1
15000US17193958400,2
15000US06037133100,3
15000US32007951000,1
15000US36027170000,3
15000US42091202402,4
15000US34013012600,3
15000US51660000102,1
15000US34013004802,2
15000US34013004801,1
15000US19121060100,3
15000US39037500100,3
15000US06073020601,2
15000US06073020602,3
15000US51153900905,1
15000US51153900904,1
15000US39035194800,0
15000US12055960101,1
15000US12055960103,3
15000US12055960102,0
15000US26017990000,0
15000US29189220801,2
15000US27047180700,1
15000US36047081600,1
15000US53053071703,1
15000US48141010214,1
15000US53053071707,2
15000US53053071706,0
15000US53053071705,2
15000US53053071704,2
15000US37051003405,0
15000US26163588000,2
15000US18073100400,0
15000US09001045400,1
15000US55071005100,2
15000US33017088500,2
15000US12009064400,2
15000US12086009047,0
15000US12086009044,0
15000US31109001400,4
15000US25013801503,2
15000US06037242100,0
15000US12086009040,0
15000US26099243500,1
15000US26101000500,2
15000US51650010306,3
15000US37067003403,1
15000US18131959100,3
15000US37051003401,1
15000US47025970500,1
15000US22075050700,3
15000US55139003300,1
15000US24005441101,1
15000US24005441102,3
15000US46015973100,2
15000US47105060301,1
15000US47105060302,3
15000US23019018000,0
15000US04013092305,1
15000US04013092306,3
15000US04013092307,3
15000US42019902400,1
15000US26047990000,0
15000US37119001910,2
15000US27163071018,1
15000US06065030800,4
15000US04013092308,3
15000US04013092309,3
15000US37109070300,1
15000US31043010300,2
15000US48201310900,4
15000US51057950700,2
15000US53007960700,1
15000US47081950100,1
15000US01017954500,3
15000US51015071101,2
15000US34007607100,3
15000US53009000200,1
15000US12033003700,2
15000US23025966700,2
15000US28023950100,4
15000US72107955100,1
15000US39089751000,1
15000US27163071015,2
15000US06001444200,2
15000US12119910800,2
15000US27053025801,2
15000US20173010400,1
15000US27053027101,2
15000US37181960500,4
15000US27053027102,3
15000US48439113218,1
15000US53055960400,2
15000US27163071010,2
15000US42043020100,2
